category,question,answer
Insurance,Factors to Consider While Calculating the Premium?,"Following are the factors that are taken into consideration by life insurance companies for the calculation of premiums:

Age
Gender
Health records
Medical history
Smoking
Drinking
Type of policy
Profession
Lifestyle choices
Obesity
"
Insurance,Life Insurance Premium Calculation,"Once the insurance company has taken the aforementioned factors into consideration, it will determine the amount of premium applicable to an individual, making it essential for you to ensure that you lead a healthy lifestyle and make the right choices in order to avail the best possible rates.

The premium charged on your life insurance policy is the amount of money levied by insurance providers for coverage. The premium charged by each company may vary, making it important for you to compare different policies to find the one that best suits your requirements. However, there may be times when the quote for a premium may differ from the premium that is actually charged as it will depend on the manner in which the premium is computed.

Mathematical calculations and statistics done by the insurance providers' underwriting department will determine the premium charged to an individual. In most cases, the statistical data regarding the health, age and life history of an individual are taken into consideration when computing the premium. For instance, a youngster driving a fancy sports car will likely have to pay a higher insurance premium in consideration of a middle-aged individual who drives a sedan. The underwriting process is applicable to all individuals who wish to avail life insurance, and it entails investigation of filial illnesses, analysis of reports such as motor vehicle reports and medical information bureau.

Once the underwriting department of your insurance provider has gathered all your information and analysed it, an actuary will scrutinise it further to determine your risk to the insurance company. The actuary will also forecast how likely you are to make a claim on your policy, and the higher your chances of making a claim, the higher your premium payment will be.The actuary will also peruse mathematical information after which he / she will compile ‘mortality and sickness’ tables based on which potential losses you will incur due to illnesses and death will be noted. These tables are used by actuaries to create models that ascertain how likely an individual is to contract illnesses or die. The premium charged to you will be determined by these results.

Grace Period in Life Insurance
Here are the details regarding grace period in life insurance:

In case the policyholder fails to pay premium on time, grace period allows them to clear the due
Grace period is of 30 days for life insurance plan during which premium can be paid
Time period of grace varies in some life insurance plans
The benefits of life insurance plan remain active during the grace period
Cash Value of Life Insurance Plans
The following are some of the details of cash value of life insurance plans:

Share of your plan that earns interest and makes the fund available for borrowing or withdrawal
This cash value can be used for various purposes, such as a loan source or for planning premium payment
Cash value helps in wealth building and adds savings to your life cover
 Cash value divides your premium into two parts:
o   One portion helps in wealth creation and earns interest

o   While the other portion helps in covering the cost of financial security

Once enough cash value has been accumulated it can be received at the time of maturity or apply for loan in case of emergency
"
Insurance,What are the Late Charges on Life Insurance Premiums?,"Here are some details regarding late charges on life insurance premiums:

Policyholders will need to pay penalties on late charges on life insurance premiums
The penalty amount varies depending on policy and the insurer
To revive the policy through ‘reinstatement’, policyholders need to pay all the outstanding premiums with applicable interest rates will be applicable
Late payment charges also depend on the duration for which premium payment is due
 Life insurance plan can be revived within five years of last premium paying date"
Insurance,How Can You Avoid Paying Late Fees in Life Insurance?,"The following are some of the significant points that you should remember to avoid paying late fees in life insurance:

Select auto-debit option so that you do not miss out on premium payments
Select reminder option before premium payment date to avoid delayed payment
Keep track of the premium payment reminders
Opt for yearly premium payment instead of monthly payments to avoid missing out on regular payments
Life Insurance Exclusion
The exclusions under life insurance plans may differ from one policy to another. However, there are certain exclusions that almost all policies agree with. Mentioned below are some important ones:

Death caused while performing criminal or unlawful activities
Death caused by man-made disasters like war, riot, etc.
Suicide or any self-inflicted injury
Death caused while participating in adventure sports or any dangerous activities like bungee jumping, rock climbing, etc.
Death from HIV or any other sexually transmitted diseases
Death or harm caused by indulging in illegal intoxicants
Death caused during the waiting period is not covered by life insurance policies"
Insurance,Is  Disability  Insurance  Required  By  Law?,"Not generally. There are five states that require most all employers carry short term disability insurance on their employees. These states are: California, Hawaii, New Jersey, New York, and Rhode Island. Besides this mandatory short term disability law, there is no other legislative imperative for someone to purchase or be covered by disability insurance."
Insurance,Can  Creditors  Take  Life  Insurance  After  Death?,"If the person who passed away was the one with the debt, creditors generally cannot take the life insurance proceeds left as long as the beneficiary was a person. The money then belongs to that beneficiary, and as long as creditors do not have a claim against the beneficiary, they cannot take life insurance proceeds from them."
Insurance,Does  Travelers  Insurance  Have  Renters  Insurance?,"One of the insurance carriers I represent is Travelers and yes, you can purchase Renters insurance through Travelers. I would look for a local agent who can assist you in placing a renters policy if you are interested. I am sure the local agent would be happy to quote Travelers if they have access and other carries as well."
Insurance,Can  I  Drive  A  New  Car  Home  Without  Insurance?,"Most auto dealers will not let you drive the car off of the lot unless you have proof of insurance if there is a loan on the car. It is never a good idea to drive a car without insurance. If you traded a car in, then the coverage on the older car may extend to the new car temporarily, but you need to call your agent as soon as possible and get it changed. Most dealerships have an insurance agent they work with who can get you coverage as well."
Insurance,Is  The  Cash  Surrender  Value  Of  Life  Insurance  Taxable?,"Cash surrender value comes only with Whole Life Insurance, never with Term. It is the amount you can terminate your policy and receive. That amount includes both what you put in and what profit you made. The profit is taxable, just as most profit would be taxable. A far better idea would be NOT to surrender your Whole Life Policy, but instead to keep it and borrow against it and either then not repay it or choose to repay it as you wish. You continue to grow in value, even when the loan is out, and your policy stays in force, although the death benefit is reduced by the loan until it is paid back. There are numerous option you should discuss with a qualified agent. Gary Lane, Registered Representative, New York Life, 949 797 2424. Call anytime. Thank you."
Insurance,How  Is  Annuity  Income  Reported?,"The good news is that annuity income is usually reported by the insurance company issuing the annuity. When they make a disbursement they also issue appropriate documentation to assist in filing your taxes. They send identical information to the Internal Revenue Service. Generally speaking when money is withdrawn from an annuity it is treated as interest and then taxed as ordinary income until the interest is exhausted and only the basis (the sum of premiums paid) remains. That money can be recovered free of income tax. If the annuity is annuitized, that is paid out in monthly installments either over an extended period of time or the lifetime of the annuitant, then an exclusion factor is determined and applied to each payment. A part of each payment will be taxed as ordinary income. The bad news is that these principles apply to non-qualified annuities held by individuals and these barely touch all the situations that can arise and the taxation of those unique situations. While this response is not meant to take the place of legal and accounting professional advice it should alert you to some of the complexities of taxing annuities. The most obvious situation is when an annuity is held as an asset of qualified pension plan. This includes defined benefit plans; defined contribution plans (401(k), IRAs and many others. The income taken by these plans is taxed as ordinary income unless it is taken prior to age fifty-nine and a half. If taken earlier it could be subject to a penalty tax of an additional ten per cent. Where annuities taxation becomes complex is when deferred annuities are transferred. That is when a person gives another person an annuity on their life, or the life of a third party. The basic rule is that the transfer is treated as surrender and taxed accordingly. The annuity that is transferred is treated as having been fully paid. It then has a basis of the value that was taxed. For estate planning reasons the ownership of an annuity is sometimes held by a trust and this leads to another set of taxation considerations involving the non-natural person rule. Who is going to be taxed is the basic issue and this can be quite tangled. Of course there are exceptions to all of these rules. Taxation is fairly straightforward if the annuity is annuitized. State laws concerning probate can create some unexpected outcomes and taxation. When an individual owns an annuity and the annuitant is another person, perhaps a spouse, the death of the owner triggers the beneficiary provision and another third person could suddenly own the contract upsetting the intentions of the couple, even if it is a child. Many of the taxation rules are specific to individual insurance companies and it is wise to carefully make sure that the company you select from whom to purchase the annuity follows the procedures that will maintain your plan and keep taxation as uncomplicated as possible. Absent all other plans, the IRS frequently calls for a liquidation of a transferred annuity within five years. The key is the desire to get the tax question settled."
Insurance,What  Does  AAA  Home  Insurance  Cover?,"AAA Home insurance, like all other major carriers, covers a wide variety of claims, including fire, theft, vandalism, and many other items. However, there are numerous types of policies offered, so it is best to determine the type of policy you have to accurately understand all of the benefits. An experienced broker can help."
Insurance,What  Is  A  Simple  Retirement  Plan?,"what is a SIMPLE retirement plan? A Simple is an inexpensive opportunity for a small business to have a retirement plan that doesn't break the bank in advisor fees. A Simple plan is an IRS approved plan with only a few steps to follow so expensive testing and record keeping aren't necessary. For any small business who are considering a retirement plan to offer, this should be right on top as it does provide a great platform for a business who would rather use it's money to put towards employees retirements rather than third party administers plans."
Insurance,What  Does  Social  Security  Disability  Insurance  Cover?,Social Security Disability Insurance pays a monthly benefit to people who cannot work due to a disability. The benefit is paid in cash to the recipient to use as they wish; it is not paid to an institution or entity. An injury or illness that causes the person to be unable to work is covered.
Insurance,Is  Car  Insurance  Prepaid?,"Yes, automobile insurance is typically paid in advance. Normally no less than thirty days at a time. Each carrier sets their own requirements as to the initial payment amount for new coverage. Most carriers allow clients to pay monthly, quarterly, semi-annually, or annually. If you pay your premium in full for semi-annual or annual you may also receive a discount on your rate ( this is solely at the discretion of the carrier )."
Insurance,What  Does  Medicare  Part  B  Cover?,"Medicare Part B covers the doctor services, outpatient hospital services, medical services and supplies. There is a monthly cost charged to the Social Security check received. There is a deductible and 20% copayments if incurred. In addition you pay all costs for services and supplies not covered by Medicare."
Insurance,Can  Veterans  Get  Life  Insurance?,"Unless a service person gets Veterans Group Life Insurance (VGLI) within a year from separating from the service, their Servicemembers Group Life Insurance (SGLI) will end and they will need to get a private policy. Contact an agency or website that carries several products to choose from to find the best rate for Veteran's life insurance."
Insurance,Does  My  Homeowners  Insurance  Cover  Lost  Wedding  Ring?,"Great question. Generally no, your Homeowners' policy will not cover for anything that is lost. This is referred to as ""Mysterious Disappearance"" in your policy documents and is usually listed as a specific exclusion. That having been said, you can certainly obtain coverage for such a loss by working with your insurance professional and asking that the item be insured specifically either as a rider which is attached to your Homeowners' policy or as a stand alone separate policy. You will need to provide a current appraisal and the item would be insured to the stated amount on the appraisal. Such riders or separate policies (commonly referred to as ""Personal Inland Marine"") include much broader coverage than does a standard Homeowners policy and will cover for such a loss."
Insurance,How  Does  Assigned  Risk  Auto  Insurance  Work?,Assigned risk in California which is what I amfamiliarwith is a processing center by which people having trouble buying auto insurance are connected with an insurance company that will insure them. Assigned Risk is not an insurance company but are companies that are required by law to participate. The amount of autos an insurance company has on the road would constitute the percentage of their obligation to the plan. There is financial hardship criteria to qualify for Assigned Risk. Also agents who offer Assigned Risk must becertifiedto offer this coverage. You can go online and then beconnectedto an agent to see if you qualify for assigned risk.
Insurance,Can  My  Boyfriend  Add  Me  To  His  Car  Insurance?,If you are living in the same household then he should put you on the list of drivers. The insurance follows the car and that is linked to a household. The person buying the insurance is in the household and can loan the car to whoever he wishes. The insurance covers the automobile. If you are not living together there wouldnt be anything gained by putting you on the policy.
Insurance,Do  I  Need  A  Police  Report  To  Submit  A  Claim  For  A  Car  Accident  On  Private  Property?,"Actually, though the local police might prepare an accident report for you, in many cases, because the incident occured on private property, it is more likely that they would take no action at all. Therefore, if it is possible, it becomes more important to exchange information with the other party involved. I would also recommend that neither car be moved and that you take photos for your records and that of your Insurance Company to help in the processing of the claim."
Insurance,Does  Full  Coverage  Auto  Insurance  Cover  Repairs?,"By ""Full Coverage"" I am assuming you mean, does carrying Comprehensive and Collision coverage cover repairs? If you have a covered claim i.e. -an accident, hit a deer, backed into your wife's car like I did the other week - then yes, carrying Comprehensive and Collision coverage would pay to fix those covered damages subject to your poilcy deductible. If you are experiencing general vehicle issues, i.e. - motor running roof, transmission mission or other general wear and tear - no, your insurance coverage would not come into play in these cases. Insurance only comes into play to repair a vehilce when there is a covered claim."
Insurance,Is  Life  Insurance  Acceptable  In  Islam?,"Do to its use of interest and chance there are those who believe that insurance is not permitted in Islam (i.e. that it is haram or sinful). Due to the spiritual nature of this question, you should seek the advice of an Imam for further guidance on Islam's position on insurance."
Insurance,Will  Health  Insurance  Cover  A  Tubal  Reversal?,"Most insurance plans will not cover the reversal of a voluntary sterilization or any treatments designed to overcome infertility. There are fifteen states with insurance mandates requiring some form of coverage for infertility, but every one of these mandates specifically excludes covering reversal surgeries. The best alternative is to take advantage of the tax deductible expenses, and to buy extra coverage for any resulting pregnancy: lower deductible health insurance, short term disability, hospital indemnity."
Insurance,How  Much  Life  Insurance  Can  You  Get  If  You  Have  Been  Diagnosed  With  Breast  Cancer?,"Traditionally, you can get up to 20-30x your income level of life insurance. The medical history does not necessarily limit how much you can get. The medical history determines the risk classification which controls the premiums for the coverage you want to put in place. When it comes to breast cancer, the details of the medical condition will determine which carriers will offer coverage and what the risk classification would be (each carrier has different underwriting, you may not get the same risk class offer from each of them), The best thing to do is to shop the case via an independent insurance agent/broker who can shop it to multiple companies. You do NOT want to apply to multiple companies as this can work against you due to the MIB (Medical Information Bureau) - from a company's point of view, it's sort of like a red flag if you will if they saw you applied to multiple companies which they can check the MIB for. In order to secure the most accurate quotes for the coverage, a number of factors would need to be known such as when the cancer was diagnosed, what stage is it in/was it in, how was it treated, has treatment been completed, are there anymore tests scheduled or that need to be completed, are you being treated for any other conditions, what prescriptions do you take, family medical history, and other factors. If you have a copy of the pathology report, that will help with a lot of the input. If cancer is current, guaranteed-issue whole life (GIWL) will be the only type of coverage available as it doesn't have any medical questions or exam requirements. However, the amount of coverage available under a single policy is $20,000-$25,000, depending on the carrier. To get more than that, you would need to stack multiple policies. Under GIWL policies, they traditionally feature a 2 or 3 year graded period - meaning you only have accidental death coverage during those periods, otherwise the carrier just returns the premiums paid into the policy if death occurs during the graded period. After the graded period expires, the full benefit is payable. Carriers typically only issue fully-underwritten coverage if the cancer has been in remission/treatment completed for at least 2 years. Many carriers prefer 5+ years from the date treatment was completed for a more favorable risk class. Send me a message via the ""contact me"" button by my profile picture if you would like me to assist with your coverage. My group is licensed with about 50 different carriers in numerous states. I hope the information is helpful - please let me know how I can be of further assistance. Thanks very much."
Insurance,What  Do  I  Need  To  Register  For  Medicare?,If you have paid taxes into the system then enrollment is automatic. You should receive your Medicare card and a packet of information from Medicare shortly before you turn 65 or qualify for Medicare if you are on disability. If you do not receive your card by the time you turn 65 then you need to call your Social Security office or 1-800-MEDICARE.
Insurance,Does  Short  Term  Disability  Insurance  Work?,"Short-term Disability does work if you have a qualifying disability. When you are applying for short or long-term disability, you need to look at the definition of disability and occupation. Not all companies have the same definition. If the definition is vague, you may find yourself being denied on your claim or receiving a ""lesser"" amount then what you have applied for."
Insurance,Will  Homeowners  Insurance  Cover  Pool?,"In short, the answer is yes. But it needs to be clarified whether you are asking for property damage to the pool itself or liability coverage. Both would be covered barring any specific pool exclusions, which I am not aware of any in the standard market. If someone were to get injured while swimming in the pool, yes, your homeowners policy should cover you for liability. Likewise, if you pool is damaged due to the standard homeowners causes of loss less any standard exclusions then the pool would be covered for property damage to the pool itself. Keep in mind that wear and tear would not be covered under your policy. So if your pool liner rips ""just because"" or the concrete foundation cracks, those would be considered wear and tear. Please note that many insurance carriers are very cautious when writing homeowners insurance on homes that have pools. Some do not like to write them with a pool exposure, some do not mind, so be sure to ask your agent how it might affect your current coverage and future coverage and what the premium impact might be. You also want to strongly consider higher liability limits in purchasing an umbrella or if you already have an umbrella policy then higher umbrella limits. It might cost you $150 for each additional $1 mil limit. Lastly, if you have a pool and want to make sure you are covered for the proper limits, make sure your coverage B (other structures) limit is sufficient to cover any losses to your pool and any other structures i.e. detached garages, sheds as well."
Insurance,When  Do  I  Have  To  Sign  Up  For  Medicare?,"You should sign up for Medicare in the three months before the month of your 65th birthday, the month of your 65th birthday, or in the three months following the month of your 65th birthday. If you miss that enrollment period you can sign up between Jan 1 and March 31 each year."
Insurance,Will  An  MIP  Affect  My  Car  Insurance?,"That is a great question! If you are the minor in question with the possession charge, you better bet it will. If the minor was someone in your car with you, and not you, you might get lucky and the insurance company won't find out. Now the fact that you were allowing the breaking of the law, suggests that your decision making skills need some work, and that as a result, at some point yes, that will affect your policy, as you will most likely be filing some claims. Please consider this a serious wake up call. Too many teenagers die as a result of drunk driving, and you don't ( and neither does anyone else on the road with you) need to be another sad statistic. Seriously, stop. Thanks for asking."
Insurance,Does  Blue  Cross  Blue  Shield  Have  Life  Insurance?,"Blue Cross / Blue Shield is the name of the network association for a number of health insurance companies (includes Anthem and CareFirst). Many health insurance companies do also offer life insurance programs, however, it's typically not the type of coverage they specialize in and the products may therefore not be as competitive as insurance companies who feature life insurance programs as the main type of insurance they offer. Insurance companies specializing in life insurance tend to have more aggressive underwriting and can offer lower rates because they want to secure that type of business more than others. Please let me know if I can be of further assistance. Thanks very much."
Insurance,What  Are  The  Advantages  And  Disadvantages  To  Long  Term  Care  Insurance?,"The advantages of coverage in your senior years can be significant based on the average senior couple spending $250,000 in medical costs during their retirement years. The disadvantage is the loss of economic opportunity to invest or save the premium dollars spent on long term care insurance if you never use it."
Insurance,Will  Medicare  Pay  For  Life  Alert?,Medicare covers items that are considered medically necessary. This includes diagnosis and treatment of medical conditions caused by accident or illness. Medicare will also cover some DME (durable medical equipment) if prescribed by a doctor as part of your treatment plan. Services such as Life Alert are not considered medically necessary.
Insurance,Which  Life  Insurance  Should  I  Buy?,"Product suitability is always a consideration when considering product lines that have such diverse application. Life insurance is generally purchased for indemnification or inheritance planning, but can be used as supplemental retirement income. Term life insurance is an excellent for temporary coverage for temporary financial exposure to your beneficiaries. For permanent liabilities, many planners use guaranteed universal life insurance. For supplemental retirement income there are several crediting methods: for interest rate crediting you can use participating whole life or current assumption universal life. If you desire access to domestic and/or foreign indices, you should review indexed universal life insurance. If your risk tolerance permits, you could consider variable universal life with access to separate sub accounts that use marker equities and bond instruments."
Insurance,Does  Medicare  Pay  For  HPV  Screening?,"Medicare covers your annual exams including most women's gynocological exams and testing. As part of your pelvic exam and pap test, your doctor should screen for abnormalities including STD's, abnormal cells and HPV. The HPV virus has been linked to certain types of cervical cancer. You should have regular HPV screening and it is normally covered by Medicare"
Insurance,Which  Is  The  Best  Life  Insurance  To  Get?,"The best life insurance to get is going to depend on many factors. The most prominent one being why are you taking out the policy. Otherwise, I would say a whole life policy is the one that will provide a lot of bang for the buck in most cases. To ensure that you get the policy that is right for you contact your local agent and discuss your needs and expectations so that they can direct you to the policy that best fits."
Insurance,How  Much  Should  Long  Term  Care  Insurance  Cost?,"Long term care insurance premiums will vary greatly according to age, health, features of the policy, and area in which the policy is purchased. However, you could look at the federal guidelines for how much premium can be exempted on income tax returns, to get a general guide for life insurance premiums. In 2013, they are: 40 and under: $360/single, $720/couple 41-50: $680/single, $1,360/couple 51-60: $1,360/single, $2,720/couple 61-70: $3,640/single, $7,280/couple 71 and up: $4,550/single, $9,100/couple"
Insurance,How  Safe  Are  Fixed  Annuities?,"Tax deferred, fixed annuities are based on the contractual claims in the annuity policy. The contractual claims in the annuity policy are as good as the financial strength and claims paying of the annuity company that issued the policy. Generally, fixed interest rate annuities guarantee a rate for a period of time like 5, 7 or 10 years. The annuity insurance companys portfolio is generally dominated by government bonds."
Insurance,How  Long  Does  It  Take  To  Settle  A  Life  Insurance  Claim?,"Life insurance death claims are generally filed by the beneficiaries of the policy. The beneficiaries contact the insurance company for their death claim forms and return them with an obituary and certificate of death. The process should take between 30 and 60 days. If the death occurred within the two year contestability period, a standard investigation will ensue which can delay payment."
Insurance,Is  Car  Insurance  Credit  Checked?,When you are applying for auto insurance coverage most if not all insurance carriers will do what is called a soft pull of an insured's credit score. This soft pull normally will not adversely affect a persons credit rating. Credit score is only one part of the many factors that are taken into consideration when your rate is calculated.
Insurance,Can  I  Use  HSA  To  Pay  For  Long  Term  Care  Insurance?,"Yes, you can use HSA to pay for long term care insurance premiums. There is a limit on the premiums for LTC insurance that can be paid through your health savings account. The instructions for your Section A (Form 1040) of your tax return will tell you the limit of premiums that can be deducted for your age group that year."
Insurance,Can  Employers  Charge  Smokers  More  For  Health  Insurance?,"Yes. Application of a premium surcharge for tobacco users has become more common in recent years, primarily in larger groups who self-fund their employee benefits plans as the employer has much more control of the benefit plan design and rate structure than they do with fully insured plans. The Affordable Care Act (ACA), while doing away with pre-existing condition exclusions, does explicitly allow for the adjustment of rates for tobacco use. So, in that sense, tobacco users are the class of employees it is legal to discriminate or penalize for their personal behavior. The ACA is silent on the consumption of Marijuana which may present some interesting situations as more states move to allow the use of medical Marijuana or to legalize its recreational use."
Insurance,What  Does  Home  Owners  Insurance  Usually  Cover?,"That's kind of a tough question to answer becuase many homeowners policies cover a multitude of things. In general terms if you house catches on fire, is broken into, is damaged by wind hail or lightning, your pipes burst, some body trips and falls on your proprty and gets hurt you could have a claims situation on your homeowners policy. This is just scratching the surface as every policy is different in every state. Most carriers add in a bunch of ""extra"" coverages too. To truly know what your homeowners policy covers, you need to do two things 1) Call you local independent agent and discuss you policy with them 2) Actually read your policy. I know reading a legal contract is your idea of fun night curled up by the fire, but it is in your best interest to actually read your entire policy, know what it includes and excludes and ask your agent about things you have questions on...."
Insurance,How  Much  Does  An  Ultrasound  Cost  Without  Health  Insurance?,Ultrasound exams are usually a few hundred dollars when you have health insurance. The Health Care Blue Book shows a price of $158 for an abdominal ultrasound including physician fees. Ultrasound on other body parts may be more or less. You should ask your doctor about costs in advance and negotiate an acceptable rate.
Insurance,What  Is  10  Yr  Term  Life  Insurance?,"That is a great question! A ten year term policy is one that provides you with the specified amount of coverage for the ten years as defined in your policy. On the day your policy expires, you have no more coverage, and no cash value or benefit to take from it. You can renew your policy, but it will dramatically increase in price. Typically a policy like this is to insure against a short term loss, like covering a college career, or a mortgage, or to provide a cheaper form of life insurance when money is tight. If you would like more details, please feel free to contact me, okay? Thanks for asking!"
Insurance,Can  You  Put  Money  In  A  401K  And  A  Roth  IRA?,"That is an excellent question! Not only can you, but you should! It is an excellent strategy to maximize as much as you can afford to the amount you can contribute to your retirement funds. Contribute as much as you can to the 401 to earn the employer match, it's free money, in a way, and you should take advantage of it. Your Roth will allow $5500 a year ($6500 if you are 50+) and after your 401, contribute as much of that as possible. The earlier you start, the better, and by maximizing your contributions now, it will help balance out when the time comes that money is a little tighter, and you can't contribute as much. Thank you for asking!"
Insurance,Can  I  Get  Health  Insurance  With  Hepatitis  C?,"You can purchase health insurance with Hepatitis C as a preexisting medical condition. There would be no waiting period before benefits begin, but time is quickly running out. The Affordable Care Act requires that health plans accept all applicants regardless of existing medical conditions. Applicants need to enroll in a plan during the annual open enrollment period through their state insurance exchange. The first open enrollment ends on March 31 of 2014 - in just a few days. Coverage would begin April 1. If you miss this open enrollment window you could enroll in plans with a January 1, 2015 effective date."
Insurance,When  Can  I  Enroll  In  Medicare  Part  A?,"You will automatically be enrolled in Medicare when you reach age 65 provided you have worked long enough and paid into the system. You will have the choice to opt out of part B of Medicare, but I do not recommend it unless you are still working and in a group. You will also get Medicare if you are on Social Security Disability. There is about a two year wait when you get disability before you are eligible."
Insurance,When  Did  Health  Insurance  Originate?,"That is a great question! There were some types of travelers insurances offered in the 1840's that covered you if your train crashed or steamboat sank, but other than that, there really wasn't much until the late 1800's when disability policies became popular. Britain passed a law in the early 1900's that created a ""National Health Insurance"", and most of Europe kind of adopted similar laws, but we didn't catch on until 1929 when us Texans ( Baylor University Hospital, and some local teachers, I think) created a system of standardized costs for hospital stays. Shortly thereafter came Blue Cross/Blue Shield, and then all kinds of competing companies. The history of insurance is interesting stuff. Thanks for asking!"
Insurance,How  Important  Is  Health  Care  Insurance?,"Very important. Health insurance allows people to go and get health care if needed. Typically people with insurance will get check ups, find problems sooner due to early detection and can address health needs proactively. When you don't have health insurance you spend your days praying you never get sick. If at all possible strive to keep health insurance on yourself and your family."
Insurance,How  Much  Does  It  Cost  To  Get  Renters  Insurance?,"Great question. Often clients are afraid to ask I think they believe is it expensive but actually its relatively inexpensive. Typically if you insure two vehicles with a company the discount you gain by having a second policy on your auto insurance will if not cover the cost of a renters policy it will be close! So the average cost is 60-120 dollars a year. So for ten dollars or less you have coverage for your phone, computers, books, clothes, medications, cd's, movies, art, guns or whatever else you own! Ten dollars a month is very inexpensive, also these are covered anywhere in the world!"
Insurance,Does  My  Home  Insurance  Cover  Theft?,"It is important to talk to your insurance professional about the specific terms and conditions of your policy, but generally speaking, theft is a named covered peril in most Home Insurance policies. This would include theft of your personal property from within your home of course, but also includes theft of your property outside of your home. Personal property outside of your home is usually covered up to 10% of the total personal property amount listed in your policy. If covered, the loss settlement would be subject to your deductible. The claims specialist will also be looking for a copy or a police report."
Insurance,How  Does  Renters  Insurance  Benefit  The  Landlord?,"That is a great question! The landlord needs to provide a safe environment for the tenants, and carries insurance on the property. To help protect the property manager/complex from a higher liability, your renters policy helps take some of that liability off of their shoulders. If you damage the apartment, or someone is injured in your apartment, your policy covers some or all of that claim, and not the landlords. Thanks for asking!"
Insurance,Do  Ohio  Employers  Have  To  Offer  Health  Insurance?,"Employers in Ohio are required to offer health insurance to their workers although they can avoid any penalty if the family can not afford the healthcare benefits offered. Also, this penalty has been delayed until 2015 to give employers and insurers time to work on specific details of implementation. This tax penalty applies to companies with 50 or more workers and applies to workers and their dependents, including children under the age of 26. Technically, the law does not apply to spouses. ""Full-time"" would be considered working 30 hours per week. However, having 100 part-time workers working 20 hours per week would qualify as having 50 full-time workers. Here in Ohio, we have enjoyed low health insurance rates, and although required mandates will be raising premiums, there still will be many low-cost options.Most of the major insurers, including Anthem and Medical Mutual, will be participating in the State Health Exchange."
Insurance,How  Much  Auto  Insurance  Should  I  Have?,"I always recommend the highest limits of liability that you can afford. If you have a good insurance score, and a clean driving record, the premium difference between 50/100 (50k per person/100k per accident) and 100/300 will not be much relatively speaking. Also, it is a good idea to have a high limit of liability for property damage, such as $100,000. The national average vehicle liability award in 2008 was $326,628. That said, I always recommend at least 250/500 limits of liability. Additionally, I always recommend having an ""umbrella policy"" to increase your limits of liability. Ask your insurance agent for a quote on a $1,000,000 umbrella policy. Be sure to tell your agent of all properties or vehicles titled to you."
Insurance,Why  Does  Homeowners  Insurance  Increase?,"Homeowners Insurance is a contract whereby a homeowner transfers his/her risk to an insurance carrier in return for a contract and a small premium. Homeowners Insurance Premium will usually increase from year to year; however, by chance a decrease may be seen once in a while. Insurance companies increase the Dwelling Coverage each year to keep up with the increasing cost of reconstruction; after all, homeowners insurance's primary purpose is to rebuild a home in the unfortunate event of a total loss. The small increase of dwelling coverage each year is usually the purpose that draws attention when the premium rises; however, this is very insignificant. Insurance companies are audited each year and are obligated to comply with State Department of Insurance regulations in each and every State where they underwrite risk. Each year, insurance carriers calculate the necessary premium to maintain a safe financial condition and offer security to all homes insured; the largest reason for premium increase would be 'loss experience' during the prior year, another reason may be due to increased operational cost including but definitely not limited to reinsurance premium paid. Insurance Companies either have an internal actuarial department or hire an independent actuarial firm who are charged with the responsibility of calculating premium based on underwriting factors and prior loss data. For this reason, carriers only offer annual policies and are unable to predict risk on a longer term basis. Since carriers experience different loss results each and every year, insurance rates and increase percentages are never the same from one year to the next. Since paid losses continue to grow, claim frequency is showing growth and litigation is becoming more commonplace, insurance companies raise premium to keep up with the outflow of payments. It is important to recognize that claims and operational expenses are paid from the pool of collected policy premium. For a more detailed explanation or financial report from your current carrier, contact your carrier representative to receive a report. Also, data is available as published by the Department of Insurance in most States."
Insurance,Who  Can  Buy  Medicare?,"That is a great question! The vast majority of people get Medicare when they are turning 65. The program will allow people under the age of 65 to enroll under certain conditions, like kidney failure, or if you have been on disability for a designated amount of time. The program is designed to help Senior Citizens afford health care, so unless you meet the exceptions, you will need to be 65 or older to enroll. Thanks for asking!"
Insurance,How  To  Remove  Medicare  Part  B?,"--> Medicare makes it difficult to cancel, or withdraw from, Medicare Part B. Because Medicare Part B provides important coverage for most people 65 and older, and because there's a penalty if someone cancels Medicare but then later wants to enroll again, Medicare enrolls everyone automatically at age 65 and wants to make sure no one cancels their coverage without fully understanding the consequences."
Insurance,At  What  Age  Should  I  Get  Long  Term  Care  Insurance?,"The best time to secure long term care insurance is when youre young and healthy, especially if you have a family history of chronic illness or nursing home confinement. Most advisers begin addressing long term care insurance with their clients and prospects around age 50. But in reality, most pre retirees purchase long term care insurance in their early 60s."
Insurance,When  Are  Life  Insurance  Death  Benefits  Taxable?,"Typically, life insurance proceeds are not taxable. They pass on to the beneficiary tax-free and can be deposited into a pre-approved or pre-discussed account. Based on my 32 years of experience handling too many claims, the period of time is about 10-30 days for the check to arrive. In some circumstances, there could be estate taxes. Also, depending on the type of policy and how premiums were paid, there could be a taxable event. A full-time broker or financial planner is your best resource."
Insurance,What  Are  Medicare  Savings  Programs?,"Medicare Savings Accounts (MSA) is a specific type of Medicare Advantage plan that may or may not be available in your area. Similar to the HSA (health savings account) for major medical plans, the MSA combines a high deductible Advantage plan with a tax favored savings account. These are not for everyone but there are definite advantages."
